Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source,Data Estimated,Data Estimation Method
2021-01-01 00:00:00,Italy,North Italy,IT-NO,303.29,389.74,35.12,30.82,entsoe.eu,false,
2021-01-01 01:00:00,Italy,North Italy,IT-NO,303.45,387.76,36.15,33.12,entsoe.eu,false,
2021-01-01 02:00:00,Italy,North Italy,IT-NO,295.04,377.86,37.89,33.65,entsoe.eu,false,
2021-01-01 03:00:00,Italy,North Italy,IT-NO,295.56,380.36,37.14,32.05,entsoe.eu,false,
2021-01-01 04:00:00,Italy,North Italy,IT-NO,308.06,394.66,34.5,31.71,entsoe.eu,false,
2021-01-01 05:00:00,Italy,North Italy,IT-NO,302.32,385.52,36.08,31.67,entsoe.eu,false,
2021-01-01 06:00:00,Italy,North Italy,IT-NO,279.98,355.15,41.78,31.49,entsoe.eu,false,
2021-01-01 07:00:00,Italy,North Italy,IT-NO,267.33,340.14,44.83,37.66,entsoe.eu,false,
2021-01-01 08:00:00,Italy,North Italy,IT-NO,272.62,347.8,42.66,37.55,entsoe.eu,false,
2021-01-01 09:00:00,Italy,North Italy,IT-NO,280.13,357.98,40.23,35.54,entsoe.eu,false,
2021-01-01 10:00:00,Italy,North Italy,IT-NO,294.88,377.48,36.48,33.4,entsoe.eu,false,
2021-01-01 11:00:00,Italy,North Italy,IT-NO,287.16,368.77,39.13,37.25,entsoe.eu,false,
2021-01-01 12:00:00,Italy,North Italy,IT-NO,285.02,363.79,40.12,37.31,entsoe.eu,false,
2021-01-01 13:00:00,Italy,North Italy,IT-NO,283.08,362.57,39.58,34.53,entsoe.eu,false,
2021-01-01 14:00:00,Italy,North Italy,IT-NO,289.65,371.62,36.94,30.5,entsoe.eu,false,
2021-01-01 15:00:00,Italy,North Italy,IT-NO,274.74,354.27,40.69,32.08,entsoe.eu,false,
2021-01-01 16:00:00,Italy,North Italy,IT-NO,246.37,317.48,47.29,37.62,entsoe.eu,false,
2021-01-01 17:00:00,Italy,North Italy,IT-NO,233.64,300.36,51.45,40.72,entsoe.eu,false,
2021-01-01 18:00:00,Italy,North Italy,IT-NO,240.24,306.89,50.5,39.8,entsoe.eu,false,
2021-01-01 19:00:00,Italy,North Italy,IT-NO,243.37,309.95,50.32,36.62,entsoe.eu,false,
2021-01-01 20:00:00,Italy,North Italy,IT-NO,267.1,336.65,45.56,33.39,entsoe.eu,false,
2021-01-01 21:00:00,Italy,North Italy,IT-NO,285.47,365.34,39.52,33.02,entsoe.eu,false,
2021-01-01 22:00:00,Italy,North Italy,IT-NO,292.68,371.72,39.03,35.44,entsoe.eu,false,
2021-01-01 23:00:00,Italy,North Italy,IT-NO,315.01,399.29,34.64,33.14,entsoe.eu,false,
2021-01-02 00:00:00,Italy,North Italy,IT-NO,309.16,389.56,37.27,35.47,entsoe.eu,false,
2021-01-02 01:00:00,Italy,North Italy,IT-NO,310.88,393.84,36.44,34.86,entsoe.eu,false,
2021-01-02 02:00:00,Italy,North Italy,IT-NO,312.47,392.4,35.93,34.26,entsoe.eu,false,
2021-01-02 03:00:00,Italy,North Italy,IT-NO,307.71,388.49,36.74,35.0,entsoe.eu,false,
2021-01-02 04:00:00,Italy,North Italy,IT-NO,313.31,394.42,35.31,33.53,entsoe.eu,false,
2021-01-02 05:00:00,Italy,North Italy,IT-NO,299.05,373.33,38.26,31.86,entsoe.eu,false,
2021-01-02 06:00:00,Italy,North Italy,IT-NO,273.42,346.04,44.67,34.0,entsoe.eu,false,
2021-01-02 07:00:00,Italy,North Italy,IT-NO,264.03,330.55,46.52,35.58,entsoe.eu,false,
2021-01-02 08:00:00,Italy,North Italy,IT-NO,257.06,323.02,48.31,37.43,entsoe.eu,false,
2021-01-02 09:00:00,Italy,North Italy,IT-NO,250.32,316.66,49.28,39.13,entsoe.eu,false,
2021-01-02 10:00:00,Italy,North Italy,IT-NO,256.99,326.43,47.32,38.26,entsoe.eu,false,
2021-01-02 11:00:00,Italy,North Italy,IT-NO,264.17,335.29,45.16,38.61,entsoe.eu,false,
2021-01-02 12:00:00,Italy,North Italy,IT-NO,264.14,336.91,44.88,36.43,entsoe.eu,false,
2021-01-02 13:00:00,Italy,North Italy,IT-NO,258.92,329.25,46.22,35.94,entsoe.eu,false,
2021-01-02 14:00:00,Italy,North Italy,IT-NO,259.98,329.88,45.66,32.84,entsoe.eu,false,
2021-01-02 15:00:00,Italy,North Italy,IT-NO,251.7,319.73,48.79,36.51,entsoe.eu,false,
2021-01-02 16:00:00,Italy,North Italy,IT-NO,280.77,344.77,51.2,46.63,entsoe.eu,false,
2021-01-02 17:00:00,Italy,North Italy,IT-NO,266.07,325.52,53.72,48.15,entsoe.eu,false,
2021-01-02 18:00:00,Italy,North Italy,IT-NO,248.79,310.4,54.85,45.33,entsoe.eu,false,
2021-01-02 19:00:00,Italy,North Italy,IT-NO,252.59,318.41,50.64,37.78,entsoe.eu,false,
2021-01-02 20:00:00,Italy,North Italy,IT-NO,281.61,354.21,43.01,32.88,entsoe.eu,false,
2021-01-02 21:00:00,Italy,North Italy,IT-NO,302.8,381.28,36.96,30.73,entsoe.eu,false,
2021-01-02 22:00:00,Italy,North Italy,IT-NO,312.26,388.03,34.72,31.86,entsoe.eu,false,
